Versão do compilador: 3.7.1 (default, Dec 10 2018, 22:54:23) [MSC v.1915 64 bit (AMD64)]
Número de épocas: 83
Erro final: 0.0007512487788914305
Erro no teste: 6.170703521182003e-05
[[0.8399     0.81391388]
 [0.6258     0.59023702]
 [0.6622     0.63054445]
 [0.5969     0.55884962]
 [0.5316     0.55670258]
 [0.6335     0.66530045]
 [0.8068     0.79351301]
 [0.5342     0.5072214 ]
 [0.4768     0.4448962 ]
 [0.4105     0.38140398]
 [0.8404     0.821488  ]
 [0.2697     0.26589655]
 [0.4125     0.39841262]
 [0.7464     0.69849905]
 [0.28       0.27258205]
 [0.9602     0.88522086]
 [0.4986     0.56517771]
 [0.6459     0.63921794]
 [0.7718     0.76807974]
 [0.5764     0.62978176]]
