Vers�o do compilador: 3.7.1 (default, Dec 10 2018, 22:54:23) [MSC v.1915 64 bit (AMD64)]entrada:	0	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.10304424 0.40096871 0.66042354]
entrada:	1	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.5920763  0.19760002 0.33082169]
entrada:	2	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.10447684 0.39627689 0.64775505]
entrada:	3	esperado:	[0. 1. 0.]	obtido:	[0.         1.         0.         0.30419745 0.28125621 0.43825352]
entrada:	4	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.14013498 0.37212157 0.58919138]
entrada:	5	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.46947369 0.22750606 0.36408939]
entrada:	6	esperado:	[0. 1. 0.]	obtido:	[0.         1.         0.         0.25610206 0.30770608 0.48214681]
entrada:	7	esperado:	[0. 1. 0.]	obtido:	[0.         1.         0.         0.22303178 0.32389988 0.50719156]
entrada:	8	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.49060026 0.2212626  0.35701964]
entrada:	9	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.52999604 0.20888274 0.34427465]
entrada:	10	esperado:	[0. 1. 0.]	obtido:	[0.         1.         0.         0.21416378 0.32530153 0.51947931]
entrada:	11	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.50411979 0.21918611 0.35385563]
entrada:	12	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.09286093 0.41018356 0.66439605]
entrada:	13	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.09898728 0.4083994  0.6609831 ]
entrada:	14	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.09271468 0.41122492 0.66319119]
entrada:	15	esperado:	[1. 0. 0.]	obtido:	[1.         0.         0.         0.52057995 0.22134648 0.35276367]
entrada:	16	esperado:	[0. 0. 1.]	obtido:	[0.         0.         1.         0.15996895 0.35689121 0.58352968]
entrada:	17	esperado:	[0. 1. 0.]	obtido:	[0.         1.         0.         0.24135226 0.31647577 0.50971184]
