Vers�o do compilador: 3.7.1 (default, Dec 10 2018, 22:54:23) [MSC v.1915 64 bit (AMD64)]
entrada:	0	esperado:	[0. 0. 1.] C	obtido:	[0         0         1          8.87615798e-81 2.17238931e-02 9.94703827e-01]
entrada:	1	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         0.77666982 0.2389556  0.24398035]
entrada:	2	esperado:	[0. 0. 1.] C	obtido:	[0         0         1          2.53751331e-77 2.56685472e-02 9.93340156e-01]
entrada:	3	esperado:	[0. 1. 0.] B	obtido:	[0         1         0         0.04350021 0.51852316 0.33134646]
entrada:	4	esperado:	[0. 0. 1.] C	obtido:	[0         0         1              1.96417091e-32 1.88778239e-01 8.46302831e-01]
entrada:	5	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         1.         0.38844134 0.15597913]
entrada:	6	esperado:	[0. 1. 0.] B	obtido:	[0         1         0         0.0788464  0.52664355 0.32917097]
entrada:	7	esperado:	[0. 1. 0.] B	obtido:	[0         1         0         0.04142704 0.52421444 0.33477199]
entrada:	8	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         0.99999985 0.32878727 0.18401348]
entrada:	9	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         0.99627633 0.26358227 0.22457743]
entrada:	10	esperado:	[0. 1. 0.] B	obtido:	[0         1         0         0.01676757 0.51924576 0.34104918]
entrada:	11	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         0.99999181 0.30138137 0.19922102]
entrada:	12	esperado:	[0. 0. 1.] C	obtido:	[0         0         1 1.06386172e-83 1.95496334e-02 9.95787871e-01]
entrada:	13	esperado:	[0. 0. 1.] C	obtido:	[0         0         1 9.69740871e-78 2.57091792e-02 9.93756468e-01]
entrada:	14	esperado:	[0. 0. 1.] C	obtido:	[0         0         1 1.12746185e-88 1.55369947e-02 9.96984439e-01]
entrada:	15	esperado:	[1. 0. 0.] A	obtido:	[1         0         0         0.99989324 0.28508691 0.209568  ]
entrada:	16	esperado:	[0. 0. 1.] C	obtido:	[0         0         1 1.79877520e-38 1.40866662e-01 8.94817128e-01]
entrada:	17	esperado:	[0. 1. 0.] B	obtido:	[0         1         0         0.0401411  0.52305529 0.33422248]
